<Compressed Sparse Row sparse matrix of dtype 'int64'
	with 13410 stored elements and shape (1023, 1023)>
  Coords	Values
  (0, 65)	1
  (0, 66)	1
  (0, 67)	1
  (0, 392)	1
  (1, 2)	1
  (1, 4)	1
  (1, 11)	1
  (1, 15)	1
  (1, 19)	1
  (1, 27)	1
  (1, 35)	1
  (1, 37)	1
  (1, 38)	1
  (1, 39)	1
  (1, 40)	1
  (1, 44)	1
  (1, 49)	1
  (1, 51)	1
  (1, 52)	1
  (1, 54)	1
  (1, 58)	1
  (1, 71)	1
  (1, 80)	1
  (1, 83)	1
  (1, 85)	1
  :	:
  (1016, 36)	1
  (1016, 71)	1
  (1016, 241)	1
  (1017, 1)	1
  (1017, 3)	1
  (1017, 9)	1
  (1017, 17)	1
  (1017, 35)	1
  (1017, 85)	1
  (1017, 90)	1
  (1017, 275)	1
  (1017, 397)	1
  (1017, 513)	1
  (1017, 545)	1
  (1018, 641)	1
  (1019, 2)	1
  (1019, 10)	1
  (1019, 18)	1
  (1019, 169)	1
  (1019, 517)	1
  (1019, 561)	1
  (1020, 1)	1
  (1020, 193)	1
  (1022, 17)	1
  (1022, 225)	1
